user,site,default_old,default_new,score_34,score_64,score_67,imbalance,consent_34,consent_64,consent_67,content_34,content_64,content_67,
0.8 0.2,0.8 0.2,900,900,3480,3480,3480,-2,personalizedAds,personalizedAds identification,personalizedAds identification,70,70,70,
0.8 0.2,0.2 0.8,600,3600,7840,7840,7840,18,,,,70,70,70,
0.8 0.2,0.5 0.5,750,2250,4950,4950,4950,35,externalContent,identification,identification,70,70,70,
0.2 0.8,0.8 0.2,3600,600,7520,7520,7520,-14,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics marketing personalizedContent personalizedAds externalContent identification,80,80,80,
0.2 0.8,0.2 0.8,2400,2400,7392,7396,7396,-4,analytics,personalizedContent externalContent identification,personalizedContent externalContent identification,70,70,70,
0.2 0.8,0.5 0.5,3000,1500,7200,7200,7200,-28,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,analytics marketing personalizedContent personalizedAds externalContent identification,70,70,70,
0.5 0.5,0.8 0.2,2250,750,4730,4730,4730,-31,analytics personalizedAds,analytics personalizedContent personalizedAds externalContent identification,analytics personalizedContent personalizedAds externalContent identification,80,80,80,
0.5 0.5,0.2 0.8,1500,3000,7600,7600,7600,15,,,,70,70,70,
0.5 0.5,0.5 0.5,1875,1875,5250,5250,5250,-5,personalizedAds,personalizedAds,personalizedAds,70,70,70,
